clean,label
some of the happiness that comes later will be even more amazing if anies baawedan becomes president,Positive
ak anies president  do n t give people a place to be homeless,Negative
president anies rasyid baswedan,Negative
samosir  the difference is that pranowo will be punished by president anies plecidennan,Negative
io  let s make sure that anies baswedan will become president,Positive
mpu inismyname anies my choice for president of the republic of indonesia  god willing,Positive
let s pray together that anies will become the republic of indonesia s first president,Positive
top spirit istiqomah trust for change,Positive
masha allah  everyone is fighting for indonesia  anies president ri,Negative
masha allah tabarakallah anies president ri amen insha allah,Negative
chotimah fellow buzzerp cebong and the elite of the claws claws party are fighting for power and the winner is the president of indonesia anies rasyid baswedan,Positive
progressive indonesia  happy people  is also good  its activities to realize social justice which includes economic progress  upholding the law fairly  job opportunities  healthy and prosperous people  anti-corruption  cheap education on the island  facilitated by anies  the president of the republic of indonesia  the results of the presidential election,Positive
ri s presidential candidate from the nasdem party  anies baswedan  has had a positive impact in banten,Positive
idha there is no one in president ri anies rashid baswedan amen insha allah,Negative
anies andika perkasa president and vice president,Negative
mpu inismyname anies baswedan president of indonesia,Negative
in syaa allaah the president of the republic of indonesia anies baswedan,Negative
ntb for anies president,Negative
if allah swt wants anies baswedan to be elected as president  good programs will continue with bad ones  of course by involving the community  anies has no grudges even though he is constantly being attacked ,Negative
i am mr anies baswedan  the president of the republic of indonesia in the year of allah huakbar,Negative
id subhanallah  i hope that anies rasyid baswedan  president of the republic of indonesia and mr surya paloh will get a blessed reward  amen yra and thank god  allah swt will give guidance to mr surya paloh  chairman of nasdem  i support you because of the late mrs toety adhitama,Positive
chotimah whatever you say is bad about anies  anies will still be president  so just keep bullying anies  it s no longer effective,Negative
the founder of pks admits that pks is the muslim brotherhood of saudi arabia and several middle eastern countries have branded im as a terrorist organization  pks nominates anies baswedan as presidential candidate  sorry  we do n t want to be led by a president supported by the muslim brotherhood  a terrorist organization ,Negative
deputy chairman of the shura council of the pks prosperous justice party hidayat nur wahid hnw said there were a number of names who met the criteria to become vice presidential candidates and vice presidential candidates who would be proposed as a duet with anies baswedan in the presidential election ,Positive
mpu inismyname in shaa allah anies president ri,Negative
chotimah anies president ri,Negative
keep moving forward never back down  god willing  the next leader,Negative
may allah bless mr anies as president for the next term,Positive
people ca n t be fooled anymore  sir  in this increasingly modern era,Positive
there are many strange things  namely the behavior of officials in jokowi s regime who are good and successful are being criticized only because the people support him to become president  god willing  the people s choice  who is hated by the ruling regime  will be the one who succeeds in becoming president  barokalloh  anies ,Positive
id bp anies president,Negative
mpu inismyname prabowo number reward number anies number president citizen pool mrotol so flick,Positive
tikadrun who supports tolerance for diversity  why are you being racist like this  even though if anies can become president  there is no reason to refuse ahok to become president  if this model continues  it will be normal if someone rejects ahok ,Negative
loren  that s a sign that they admit it and are even more confident about anies president,Positive
coalition of change agrees on anies bawedan and the presidential candidate of the republic of indonesia who is the vice presidential candidate to accompany anies,Positive
chotimah in this year i predict that it will be eroded  no longer the dominant party  the seats in the dpr will be reduced  while the nasdempks party and the democrat coalition of change will take the dominant position in the dpr if anies occupies the presidential seat ,Positive
magdalena lives  come on  muslims close ranks  follow the ulama s commands to win,Positive
do n t let him fight alone because the taikers and supporters of kang khianat will unite to attack and slander him  close your ranks and continue to fight sincerely for a better indonesia ,Positive
according to the kompas r  survey institute  pa gangar is ahead of mr anies  but in other survey institutions such as ilc  mr anies is ahead of pa gangar and pa prabowo  never mind  the people will decide to be president of the republic of indonesia  let s support good people to lead ,Positive
people are disgusted and crazy about calling the president of the republic of indonesia even though it s still a long time before you die  you have n t even become a presidential candidate  is n t that the tray that anies stepped on  why did anies have to step on the tray ,Negative
it seems like you re really confused about anies  electability  if you really believe in the survey  you should be happy  why are you still confused by creating narratives like anies needs a miracle and so on  i ll help you pray for anies as president ,Positive
it s a pity that mr anies  who is serving as president  inherited a bad  messy legacy  the country s debts are piling up  which is getting worse  there is an appeal to stop paying taxes  collapse  bad luck  mr anies  if anything happens  what will happen in the future ,Negative
mr anies should resign  do n t be president  mr jokowi s legacy is in shambles  the country s debt is swelling  the people are reluctant to pay taxes  the economy could collapse  you know  later  those who feel sorry for you  when you take office  if you reach the state  why are you the one who is in trouble  stop resigning  sir ,Negative
doctor of political science ui the popular response will be widespread between anies becoming president  the people hope that change will occur but in a good way  namely that power changes peacefully and periodically through democratic mechanisms based on pancasila and the constitution ,Positive
ulama in central java and east java pray for mas to make it easy and give him help to become president of the republic of indonesia  let s all amen  may allah grant all prayers of the indonesian people so that mas anies becomes president  sir volunteer ,Positive
srikandi  a former solo legislator  is ready to support anies baswedan for the presidency  in the future  it is believed that more and more figures will join from political figures and community organization figures who will emerge and following anies  support,Positive
february trust indonesia anies baswedan excels in all presidential candidate simulations anies baswedan s electability is at the top of the presidential candidate market,Positive
after the arrival of anies baswedan to lampung province  the ranks of the supporting parties  especially in bandar lampung  continued to move to win anies as president in the election,Positive
i do n t like leaders who like to watch bf  i prefer anies  president  anies  president of the republic of indonesia  who is very great,Positive
the sky does n t agree with anies as a better future leader for indonesia  the people want anies to become president,Positive
after west kalimantan  anies baswedan also rocked east kalimantan and continues to be optimistic that mr anies  this change in indonesia will become a reality  president ri  amen ,Positive
nasdemdemokratpks anies baswedankhofifah gerindrapdip prabowopuan golkarpkb airlangga muhaimin panppppsi gangarrick so the candidate in the presidential election constellation is anies khofifah prabowo puan airlangga muhaimin,Negative
anies confides in the tough test with pks in the dki regional elections  like david against thalut covid  tuesday february  there was a death  bismillah  afternoon at jakarta  indra bekti without a qr code  nadia pbsi,Negative
mr anies  excellence  let s win the presidential candidate  anies  to become president of the republic of indonesia in the presidential election together with nasdem  pks  democrats  god willing  we will be able to realize social justice to be implemented correctly by a trustworthy president  anies  who is ready to collaborate to advance a just  civilized republic of indonesia ,Positive
mpu inismyname god willing  prabowo will be the presidential candidate  if anies is president  anies wo n t be able to make prabowo his assistant ,Positive
pks president targets vote percentage to win anies in presidential election,Positive
ready to support mr anies president,Positive
ri presidential candidate from the nasdem party  anies baswedan  always talks about social conditions,Positive
i believe anies will win the next presidential election and pranowo will become president in 2018,Positive
vote control must be really strict to prevent fraud with all our might  god willing  anies baswedan and the president,Negative
presidential election kpu kpk psi pkb muhaimin survey,Negative
keep moving  unite  fight  win  move forward  win  bro  in tol tol  god willing  the vote will exceed the limit  anies president,Positive
hello anies president,Negative
good news  indonesia will have a new president  bad news  anies is running for president,Negative
god willing  mr anies president,Positive
indonesian poll stations ips revealed the results of a survey on the electability of presidential candidate prabowo subianto in the top position  followed by ganjar pranowo and anies baswedan in second and third positions  source,Positive
anies is great  god willing  he will be president this year,Positive
dusun anies  if he is elected president  i am sure he will continue the good things of the previous leader  the rest is filtered by the good things  which is the other side of the social capital  jakarta s success is proof that he is a visionary ,Positive
the title of latansa emakemak pks bandar lampung is ready to win anies as president of latansa is a form of pks seriousness in welcoming the political year  said the general secretary of dpd pks bandar lampung  sidik efendi ,Positive
fahnoor  the leader  can at least maintain the integrity of her household  if it is destroyed on a small scale  what about on a larger scale ,Negative
anies baswedan s declaration as a candidate for president of the republic of indonesia from the prosperous justice party  february,Positive
ips survey prabowo defeats ganjar and anies jakarta indonesia ips poll stations reveal results of electability survey of presidential candidates,Negative
the slogan of jakarta s success for indonesia was brought up again because it was used by anies baswedan as a presidential candidate in the presidential election,Positive
jakartaindonesia poll stations ips revealed the results of the electability survey of presidential candidate prabowo subianto in the top position followed by ganjar pranowo and anies baswedan in second and third positions followed by ridwan kamil in the second position ,Positive
indonesian poll stations results prabowo ganjar anies airlangga hartarto jakarta indonesia poll stations ips reveals results of electability survey of presidential candidates,Negative
yes  what is the gap  at least the struggle must continue and never give up  hopefully mr anies will be elected as president of the republic of indonesia  amen,Negative
goosebumps praising all of president anies in front of thousands of pks cadres me via,Positive
ri presidential candidate from the nasdem party anies baswedan takziyah to the residence of the late kh ali yafie,Positive
visiting lampung  nasdem party presidential candidate anies baswedan hopes that the economy will get better and i believe society can improve,Positive
pks ntb considers agus harimurti yudhoyono ahy worthy of being the vice presidential candidate and vice presidential candidate to accompany anies baswedan in the presidential election via detikbali,Positive
nasdem grobogan invites cooperation with jarnas to win anies baswed and let s work hard together to make anies baswed a success and win the central java presidential election,Positive
ntb governor zulkieflimansyah asked presidential candidate anies rasyid baswedan from the change coalition to invite ahy to accompany him in running for next year s presidential election ,Positive
nasdem admits east java governor khofifah indar parawansa as one of the candidates for vice presidential candidate anies baswedan s vice presidential candidate in the presidential election,Positive
anies is the president if you are the head of the street prostitutes,Negative
pray for allah to make it easy and give you help to become president of the republic of indonesia  may allah save you from the slander and plot of people who want to trip up mr anies baswedan ,Positive
officially supports anies baswedan pks  hopefully allah will make him president of the republic of indonesia,Positive
samosir at the president of the republic of indonesia  anies rashid baswedan  amen  god willing,Positive
amen  we are always ready to wait for changes and improvements  replace president anies and ahy  leaders of change and improvement  the hopes of the indonesian people and president anies and ahy vice president  ri  amen ,Positive
still elect mr anies baswedan as president,Negative
the use of the jakarta slogan by presidential candidate anies baswedan in the election is considered to have good implications for the acting governor of dki jakarta,Positive
be a good tax manager  tax governance would be better if anies baswedan became president of the republic of indonesia  last year  anies spoke about taxes  so smart ,Positive
virda deviyanti together boldly declares her support for anies as president,Positive
chotimah whoever is the presidential candidate is still mr anies,Negative
officials who have achievements are very suitable for anies to become president  not just achievements  he is polite and authoritative in international eyes,Negative
the time will come for ahok to go to jail again  the president will wisely resolve this by enforcing the law  barokalloh  mr anies as president fi amanillah,Positive
can you believe it or not  anies will become president  whether he succeeds or not  and you have to believe that ganjar pranowo will become president next year ,Positive
it s simple  pks wins anies  president pks wins with the people  commitment of the entire cadre structure of community leaders  volunteers  mass nodes and sympathizers  wins pks and bpk in the election,Positive
continue to support anies to become president at,Positive
munafiqx so excited that he hit the sky hadeuuhh pretttt romance anies saewad idha sir,Positive
well done sir  i hope mr anies rasyid baswedan will be president of the republic of indonesia next year  amen,Positive
kh ahmad mudhoffar supports anies baswedan and prays for anies baswedan so that allah will make it easy and give him help to become president of the republic of indonesia  may allah save him from slander and treason of people who want to trip mr anies baswedan ,Positive
hasan  thank god  if so  there is already a candidate  but the next indonesian president in the presidential election  mr anies  is a better choice because of his track record ,Positive
towards the presidential seat  anies  coalition for change took winding steps,Negative
well  this is the correct reasoning of papuan youth  if allah gives anies the opportunity to become president and god willing  this will happen then justice will touch everyone ,Positive
the party that supports president anies will have their legislative candidates chosen by people who are aware that they are not the people of the prc,Positive
yes  i and all sensible people  mr anies  god willing  will be blessed to become president  amen ,Positive
the asn law makes officials corrupt and immoral  asn can not be fired with honor or dishonor  the revision of the new law can be clean  god willing  the president can revise it and in a relatively short time he can change the structure of asn well and wisely  barokalloh  mr anies ,Positive
he said  if you want change  do n t just talk  let s fight together  comma for anies for president ri,Negative
these are the seven points from the regional deliberation of anies baswedan volunteers who won anies as president and helped the supporting party become the winner of the central java legislative election ,Positive
great  i hope mr anies passes to become president,Positive
chotimah  even though anies has already gone around indonesia  but the results are still lost  the answer is that the people are already smart about which one is worthy of being president and which one is not worthy  that s what i think,Positive
always healthy  mr anies  god willing  president,Positive
they are incredibly funny,Positive
anies has no opponents to compete with for ideas  let alone compete with his performance and work  his opponent can only show off his survey  composing  concerts are empty  the audience is walking around  empty of participants  meet supporters of packaged rice  loyal supporters of basic foodstuffs ,Positive
pdip puan nasdem democrat pks anies and ahy anies and ahy president,Negative
chotimah is also right  what many people think is that before many buzzers  the buzzers are really stressed and almost crazy  but after the party nominated mr anies as a presidential candidate  the buzzers really went crazy ,Negative
anies baswedan s real work in lampung covid monday february there was a death breaking night bad teja nick pope abby choi jerome modern family games of thrones black mirror potter moge is banned,Negative
jeul wakakaka is starting to go crazy  anies is getting more and more popular  his opponents are in a tight spot  oh  it s a shame he s still a presidential candidate  it would be crazy if anies became president  he d all die  hahaha,Negative
chotimah anies president,Negative
regarding the presidential candidate jokowi s strong fight with god  monday there was a death,Negative
god willing  anies will win as president of the republic of indonesia after being inaugurated  he will quickly resolve corruption in every department  starting from now on  an intelligent young generation with anti-corruption trust  prepare yourself to work sincerely and hard without any desire for corruption for social justice for the people of indonesia ,Positive
ahead of the presidential election  anies baswedan delivered a speech and praised the previous president of indonesia,Positive
marm anies  president of the republic of indonesia,Negative
anies and prabowo eye khofifah indar parawansa as vice presidential candidate in khofifah election  who will they choose ,Negative
come on  let s enliven and spread the changes and improvements to the hopes of the indonesian people from president anies and ahy  hopefully the changes and improvements to the hopes of the indonesian people can be realized together with the reform coalition ,Positive
chotimah pk anies presidential candidate your slander indicates your panic bonghhhhhh,Negative
fahnoor agrees with anies baswed and the president of the republic of indonesia,Positive
god willing  anies president,Positive
anies baswedan  president of the republic of indonesia  then this sentence is suitable to be used as a tagline  yes  the country is progressing  the country is happy  the people agree  right ,Positive
still anies will be my future president,Negative
hasan pan anies baswedan president,Negative
chotimah might get even crazier  bro  minul if mr anies becomes president,Negative
later  it turns out that anies becomes president of the republic of indonesia,Negative
keep up the enthusiasm for releasing the survey results  cebong  then the president of the republic of indonesia will be anies  hahaha,Positive
the rally is ready to win and as a presidential candidate at the madya senayan stadium  god willing  and indonesia will have a first lady who wears the hijab and is pious,Positive
chotimah anies baswedan president,Negative
just relax  bong anies will definitely be president of the republic of indonesia hahaha,Positive
ntb governor zulkieflimansyah asked anies baswedan from the change coalition to attract ahy to accompany him in running for the presidential election this year via detikbali,Positive
thousands of residents in way hui  south lampung  were really busy welcoming presidential candidate mr anies baswedan,Positive
wow  it s really cool  the enthusiasm of thousands of people at way hui  especially while shouting anies president,Positive
thousands of residents at way hui square shouted at anies baswedan and the president,Negative
thousands of residents welcomed the arrival of the presidential candidate from the nasdem party  anies baswedan  at the way hui field in south lampung,Positive
the people of lampung are united in supporting mr anies baswedan and the president is really cool,Positive
thousands of residents in hui shouted at anies baswedan and the president,Negative
idha is not annoying  my god  anies baswedan  is my president,Positive
is it true that anies  claim to lead jakarta will be without tension ,Positive
the enthusiasm of the community welcomed the arrival of the presidential candidate from the nasdem party  anies baswedan  at the way hui field in south lampung,Positive
presidential candidate from the nasdem party  anies baswedan  was enthusiastically welcomed by the community of sympathizers and volunteers during his visit to south lampung,Positive
residents and community leaders in tegal  central java set up a volunteer alliance post in the tegal area  the post was established to support anies baswedan as a presidential candidate ,Positive
may allah swt send anies rashid baswedan to be president and ahy to be vice president of the republic of indonesia  amen  lord  experience it ,Negative
chairman of the bmi democrat city of medan together with the board of trustees of the bmi democrat indonesia  mr andi malaranggeng  bmi democrat throughout indonesia  especially the city of medan sp  sends anies baswedan and ahy as president and vice president for the period,Positive
pks president emphasizes that he is ready to achieve election victory with anies,Positive
anies hopes that his fate will be the same as that of sby  supported by pks to become president via,Positive
whatever the propaganda  it wo n t work because the people are smart and do n t want to elect a leader who is fond of promises that anies will remain president of the republic of indonesia,Positive
change must be made  the struggle must be determined by anies baswedan  it is mandatory for the president  we must win,Positive
pks presidential election emphasizes readiness to achieve victory with anies,Positive
again and again the latest support for ganjar from west java  anies  which is on sale around gangar  which is selling well  the children and wives of islamic boarding school kiai from districts and cities in west java support ganjar pranowo  president,Positive
chotimah  do n t think about things that do n t necessarily happen  the current regime has made things difficult for the people  mr anies baswedan and the president ,Negative
presidential candidate anies baswedan is considered not to understand the slogan of jakarta s success for indonesia made by the acting governor of dki jakarta ,Positive
masyaallah pks continues to move forward fighting for the benefit of the indonesian nation with the presidential candidate anies who needs to be won to become president of the republic of indonesia in the presidential election  just ignore the haters who are busy with their lusts mr anies and pks continue to fight with allah s blessing for the welfare of the people,Positive
bacapres anies baswedan has a benchmark for national development if he is elected president  namely making dki jakarta a benchmark for development,Negative
beware  anies  president ahy bin sby  vice president mamarika is happy,Positive
the conscience of the people of lampung is worthy of being elected and the best good people choose the good people  anies president,Positive
anies is an intelligent  honest leader and unites the president of the republic of indonesia,Positive
slebew it turns out and it turns out later it s anies vs jokowi and not anies vs ganjar or whoever turns out ooo turns out anies is equal to the president,Negative
anies allah swt told people to try  may allah swt have mercy on this nation by making a good  intelligent and trustworthy person as its president in the year amen,Positive
in the past  i thought prabowo was better than jokowi  so i chose him  but i thought anies was better than prabowo  so i chose anies as president  a rational voter ,Positive
bismillah  mas  anies wins the presidency of the indonesian president,Positive
hus  you ca n t do that  do n t be too arrogant  we  the people of nahdiyin nu budaya  are ready to win mr anies baswedan as president ,Positive
anies  president of the republic of indonesia  peacefully moving forward  justly and prosperously without buzzers,Positive
i think it makes sense that anies became president  indonesia s debt was paid off  it has been proven that anies became governor  the debt was paid off  maybe it was already dealt with  that s when the us ambassador met anies ,Negative
hasto just circle around and join pks  his name is also politics  just stay together  win anies as president in,Positive
anies for president pks,Negative
hasibuan let the pki dogs continue to slander  god willing  mr anies will be elected president next year,Positive
friendship and coordination of volunteers  friends of anies malu in order to finalize the strategy for the struggle towards victory for anies rasyid baswedan as president of the republic of indonesia,Positive
dumdum pray for president anies ri for a better indonesia,Positive
can you wait for the year when anies baswedan becomes president of the republic of indonesia,Negative
just a round  sure to win easily  anies khofifah will really be elected president and vice president  amennnnn,Positive
i was originally born in bandar lampung  our extended family definitely supports mr anies baswedan to become president,Positive
catetttttt yee drunnn hadeuuhh pretttt romance anies didu saewad idha sir,Positive
pks officially supports anies baswedan as president of the republic of indonesia,Positive
enough to support prabowo as team leader twice  even though at the regional level now i support anies baswedan for president of the republic of indonesia  god willing  istiqomah,Positive
mr anies  i would be proud if you become president  prioritize the welfare of the people  like in harto s time  all basic food needs for the people are cheap and very affordable  cheap fuel  we as ordinary people really pray for you to become president  amen ,Positive
it really looks like you are attacking anies in the hope that anies  bad image wo n t affect bong  anies will still be president of the republic of indonesia in the future ,Negative
just relax  the president will be anies,Positive
whatever the important thing is that anies will become president of the republic of indonesia later for a better indonesia,Positive
pks pledge to win the election and make anies president,Positive
signs of anies becoming president of the republic of indonesia,Negative
anies will still be president of the republic of indonesia later,Negative
pks aboe burns presidential election for president anies baswedan,Negative
lampung residents have caused a stir when they shouted for anies  president of the year,Negative
the opportunity for the people of this area to build an innovative business for anies baswed and one day become president of the republic of indonesia,Positive
anies prabowo punganjar  if you want to be president  register first with the kpu when they say that the president s name is halu,Positive
officially promoted by pks  the opportunity for the change coalition to make anies become president is wide open,Positive
hasibuan has already cursed when it turns out that anies is destined by allah swt to become president of the republic of indonesia  will you think this person will be embarrassed or will he run away ,Negative
dumdum  believe me  i want america  old farts  to the european union  old people to join pks  anies will not be president  pks will also remain a small party  whoever jokowi appoints as presidential candidate  surely people throughout indonesia will follow his instructions to elect him ,Positive
together with fkm sympathizers  figures and clerics  ppp budaya garut  support anies for president,Negative
for this reason  let us always pray that allah swt will send anies rashid baswedan to be president of the republic of indonesia  amen  lord  experience it ,Positive
fought hard  intelligently  sincerely and thoroughly to win the pks and win brother anies baswedan to become president of the republic of indonesia in the election,Positive
amen,Negative
top markotop anies pks for president,Positive
pks president targets minimum number of votes in election and wins anies baswedan as president via guide,Positive
anies president ri buzzerrp cebbong moved sonoooo,Negative
anies baswedan is afraid of being seen as carrying out covid identity politics sunday february there will be a death tomorrow monday didi kempot jerome grace is stupid david woman gets married this afternoon man united newcastle,Negative
baweano  just take care of anies  polish him so he can become president  do n t slack off traveling around indonesia  drinking petrol and packed rice ,Positive
bahrawi just ignore president ri s stupid comments,Negative
anies  president of pks  my party  bismillah  fight for victory for pks,Positive
i pray that the declarations from and the struggles of other colleagues in supporting anies baswedan will lead him to become president of the republic of indonesia  amen ,Positive
after changing the new president  all the big cases are uncovered and the traitorous generals will emigrate  causing themselves to fight for president anies ,Negative
be patient now there s no point in waiting after changing president  i m sure there will be many big cases that will be revealed in anies  struggle to become president ,Negative
pks totality to win anies baswedan and president two thumbs up,Positive
bismillah  mr anies president  amen,Negative
achmadi does n t exist  the pdp boss is the only political party that can nominate its cadres alone without a pdip coalition  the cadre party is very far away from collaborating with anies  once again  it s impossible for the president boss to be a native indonesian ,Positive
anies baswedan as a presidential candidate tweeted the old slogan  jakarta is advanced  the country is happy  its people  in the middle of his declaration  anies also promised to advance indonesia  what do you think ,Positive
anies hopes that his fate will be like that of sby  who is supported by pks and can become president,Positive
the solid cohesion of the coalition parties for change has made the involvement of ordinary people from sabangmerauke and from miangasrote even more solid in supporting anies baswedan to become the people s choice of president  let s support nasdem democrat pks to realize the spirit of change ,Positive
just give support to that person  god willing  if someone spreads slander  counter  if you leave it alone  the slander will be made into reality ,Positive
ready for anies baswedan and the president of the republic of indonesia  waiting for your follow back,Positive
president anies kib,Negative
dumdum pa anies for just one term president  do n t be greedy,Positive
harinto is sane  amen  i hope mr anies becomes president,Positive
the people of samosir have chosen anies as their president to work together to make changes for the sake of just and civilized prosperity,Negative
video of anies  hope that his fate will be the same as sby s support for pks to become president,Positive
our name is with the ulama  god willing,Positive
god willing  this year will be a moment of victory for pks and victory for pks presidential candidate anies baswedan continued syaikhu link,Positive
presidential candidate from the nasdem party  anies baswedan  planted avocado tree seedlings in untoro village  trimurjo sub-district  central lampung,Positive
we are very honored to officially accept the nomination as a candidate for president of the republic of indonesia from the prosperous justice party  said anies link,Positive
presidential candidate from the nasdem party  anies baswedan  held a national gathering in central lampung and planted trees in one of the yards of a farmer s house in untoro village  trimurjo sub-district  central lampung ,Positive
not only does he have the integrity and capacity of anies rasyid baswedan  he also has a big chance of winning in the presidential election contest for the bright year of syaikhu link,Positive
ip attended the rally to win the legislative and presidential elections with the theme of winning with the people  the madya stadium  gelora karno complex  jakarta  was also attended by the presidential candidate promoted by pks anies rasyid baswedan ,Positive
nasdem presidential candidate anies baswedan planted an alligator-type avocado tree in the yard of resident saryono s house,Negative
thank you to all indonesian people who continue to support anies baswedan as president  hopefully the changes we hope for can bring prosperity to all indonesian people from sabang to merauke from miangas to rote island  greetings for change ,Positive
reject anies from becoming president,Negative
this is the pks president s threat to cadres if he does n t support anies as a presidential candidate  read in full,Negative
may anies be president  amen,Negative
the friendly romance of the lampung emakemak is truly extraordinary  her enthusiasm for change is better  more advanced  fair  healthy  safe  equal and prosperous with the presidential candidate anies who deserves to be won by the people as president of the republic of indonesia in the presidential election  amen  robb,Positive
pks wins anies baswedan and the president of the republic of indonesia officially declares his willingness to become a presidential candidate in the election from the prosperous justice party,Positive
in order to suck up to budiman sudjatmiko  you have to join the regime party  then budiman sudjatmiko s dream is to be nominated by the pdp  get together with fellow political vagabonds  whoever is nominated  god willing  anies will be appointed president  amen  robb,Positive
i hope that one day when mr anies succeeds in becoming president of the republic of indonesia  fahri wo n t appear to say that because his services helped raise mr anies  today i am writing here to report that if that happens  it is purely because he is drunk ,Positive
mr anies  i want more than just a photo of your visit  post your thoughts on changes in indonesia in the future  until now i have fixed it and support you  president  may allah make it easier for you to make indonesia dignified ,Positive
pks pledge to win anies baswedan as president,Positive
chotimah genjer was the president chosen by the survey institute  while anies was the president chosen by the indonesian people and won and became,Positive
follow and share west java anies volunteers stir up the anies village movement  anies sukabumi district makes a declaration supporting anies baswedan abw as a candidate for president of the republic of indonesia on saturday ,Positive
pks president ahmad syaikhu said anies baswedan s declaration as presidential candidate was on track with the results of the shura council decision,Negative
it s amazing that the mother is very smart and intelligent  bro  volunteer  gangar  buy expensive loudspeakers with the aim of getting the mother to support the recitation of the koran  but instead the mother lets slip  bro  in sha allah  support anies  the president  great mother  great  cool,Positive
mr anies is optimistic about welcoming victory at this morning s apple siaga pks event,Positive
god willing  with a leader who is trusted by the majority of the indonesian people  anies baswedan will become a presidential figure who brings the spirit of change for social justice for all indonesian people  the mandate of the people has been unanimous in the election  only for anies to remain enthusiastic,Positive
apple stands by to win pks madia field gbk senayan sunday february  win with the people  pks supports mr anies baswedan as presidential candidate  god willing  anies  president of the republic of indonesia  prosperous people  justice for all the nation s children  good bye,Positive
feb attended the rally for the winning of the legislative and presidential elections with the theme of winning with the people  madya stadium  gelora karno complex  jakarta  was also attended by the presidential candidate promoted by pks anies rasyid baswedan,Positive
will continue to slide hehehe,Negative
will continue to slide hehehehe,Negative
sir  continue to fight for justice for all indonesian people  especially for the lower classes  anies for president,Negative
ehren  mr anies baswedan  sir  is very friendly and loves small children  ehren feels very comfortable  i hope that mr anies will be smooth and successful in becoming president of the republic of indonesia,Positive
bahrawi anies president of the republic of indonesia,Negative
irawansanto bahrawi anies president of the republic of indonesia  what do you want  soe,Positive
jakarta  february  the presidential candidate for bacapres from the nasdem party  anies rasyid,Positive
pks secretary general secretary general habib aboe bakar allhabsy proposed the name of ahmad heryawan aher as the vice presidential candidate who is accompanying anies baswedan in the presidential election  he said this after his party officially supported anies baswedan as presidential candidate ,Positive
inismyname fahnoor remains enthusiastic about prabowo even though the president of the republic of indonesia is anies rasyid baswedan,Positive
bahrawi islah bahrawi  try discussing the issue of anies baswedan being slandered by people who hate and hold grudges as if it was the year anies baswedan was elected as president for the year he wanted to change pancasila into a caliphate even though it was impossible ,Negative
pks president winning momentum for anies baswedan,Positive
pks president s threat to cadres if he does n t support anies as presidential candidate,Negative
anies baswedan held a rally with pks  the party that took him to the governor of jakarta  congratulations  anies  you are right with pks ,Positive
the supporters cross regions  cross religions  cross backgrounds,Positive
call to alert the pks victory and anies baswedan s victory as president of the republic of indonesia,Positive
wow  my choice for the best is anies baswedan and the president of the republic of indonesia for prosperous indonesia,Positive
id anies president of the republic of indonesia,Negative
samosir next door has no candidates but there is not a single party willing to nominate the choice of an intelligent person  mr anies rasyid baswedan  to become president of indonesia ,Positive
what he said vs the fact that anies baswedan is fair to all religions  what indra charismiaji said  the catholic youth figure  see via,Positive
sir jateng jogja volunteer id bismillahfriend anies purwokerto in sha allah solid to fight to win sir anies as president in,Positive
the horse that anies rode on to go to the dpp pks in tb simatupang  south jakarta to be declared as a presidential candidate  did not want to walk and just remained silent  his romance was a sign that the former governor of dki jakarta would lose in the presidential election ,Positive
if there s no benefit  you want to degrade mr jokowi no matter what  until he remains president  you re such a bastard  so what if we support anies  you re dreaming  in fact  you ve already caused anies to lose because indirectly  jokowi s supporters are reluctant to vote for anies ,Negative
pks believes that presidential candidate bacapres anies baswedan will be able to increase the number of seats in the dpr in the legislative legislative elections ,Positive
apple is on alert for pks pks victory for anies president,Positive
catetttttt yee drunnn catetttttt yee druunn romance anies didu saewad idha sir,Positive
the social justice party pks bandarlampung will go all out to win anies baswedan in the upcoming presidential election,Positive
catetttttt yee drunnn prettt catetttttt yee druunn romance anies didu saewad idha sir,Positive
god willing  this year will be a moment of victory for pks and victory for pks presidential candidate anies baswedan  he continued  the pks standby rally,Positive
what if anies rasyid baswedan becomes president  will you stop being a sycophant ,Negative
goo anies goo indonesia the people want anies for president  do n t lie to the people  watch the video until the end,Positive
this is my name fahnoor spirit together we can be anies baswedan president of the republic of indonesia,Positive
dozens of ulama gathered at the ribath nurul anwar islamic boarding school  sragen  central java  at the boarding school led by kh wafi maemun zubair  they prayed together so that anies baswedan would become president of indonesia in the future ,Negative
it s time for us to welcome change for a better indonesia,Positive
pks president hopes that anies baswedan will win in the presidential election this year,Positive
pks has declared anies baswedan as a presidential candidate for this election  meaning that anies has been supported by three parties so far ,Positive
pks president ahmad syaikhu emphasized that their chosen presidential candidate anies baswedan is not a figure who likes to sow hate sentiments,Negative
clev is n t it  tri okesip lek ali men aak la id media  the fact is that they hope to have a president  they want revenge  but in the end  if you wait  just wait and see if anies becomes them  it s just an illusion  right ,Negative
pks president ahmad syaikhu asks dpw leaders to commit to winning former dki jakarta governor anies baswedan in the presidential election,Positive
chotimah is still the best anies and anies is the president of the republic of indonesia,Positive
friends of anies national lampung  greetings  there is no doubt to mr for ri,Positive
synergy with anies baswed and the president of the republic of indonesia,Negative
welcoming victory  god willing  this year will be a moment of victory for pks and victory for pks presidential candidate anies baswedan ahmad pks president,Positive
it s getting hotter  you think it s the rotten oligarchs who have the money  i hope you get a seizure when you see anies being inaugurated as president,Negative
